ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
66,18.481658,77.375781,5.2,-50.5,6.8,1.93,Negativno,Da
67,18.489649,77.372349,12.5,-84.7,6.89,2.39,Negativno,Ne
68,18.478192,77.383763,3.7,-54.4,6.98,3.67,Negativno,Ne
69,18.464367,77.393538,12.1,-50.0,7.3,3.78,Negativno,Ne
70,18.469133,77.394038,11.6,-60.9,6.78,3.25,Negativno,Ne
71,18.476612,77.390073,5.5,-60.0,6.0,1.29,Negativno,Ne
72,18.482429,77.400978,3.6,-47.4,5.72,4.25,Negativno,Ne
73,18.467507,77.382257,8.3,-65.9,7.48,4.68,Negativno,Ne
74,18.465905,77.368371,7.1,-59.0,6.48,0.74,Negativno,Ne
75,18.473712,77.393519,7.3,-55.7,7.74,5.71,Negativno,Ne
76,18.482173,77.38918,3.9,-40.6,6.88,3.97,Negativno,Ne
77,18.481699,77.401661,7.1,-49.4,6.92,4.31,Negativno,Ne
78,18.479923,77.381157,5.4,-42.7,7.45,0.39,Negativno,Ne
79,18.483154,77.379735,8.7,-12.4,7.72,1.58,Negativno,Ne
80,18.471495,77.399293,10.3,-57.6,6.21,3.56,Negativno,Ne
81,18.478916,77.392879,3.2,-53.5,6.67,5.46,Negativno,Ne
82,18.486269,77.370191,4.9,-54.1,6.76,1.52,Negativno,Ne
83,18.493483,77.385222,2.1,-41.0,5.95,4.83,Negativno,Ne
84,18.490491,77.384424,4.5,-79.2,7.47,4.33,Negativno,Ne
85,18.476965,77.386204,6.7,-41.5,5.87,0.84,Negativno,Ne
86,18.473834,77.3802,13.8,-61.6,6.52,5.37,Negativno,Ne
87,18.473751,77.401205,14.3,-34.7,7.37,2.4,Negativno,Ne
88,18.481307,77.38368,10.1,-58.9,7.01,4.38,Negativno,Ne
89,18.465358,77.402687,2.9,-50.3,7.23,3.72,Negativno,Ne
90,18.485386,77.394025,3.6,-31.3,6.61,3.57,Negativno,Ne
91,18.493863,77.38581,11.9,-47.1,6.89,0.89,Negativno,Ne
92,18.484604,77.391507,3.6,-44.5,6.49,3.71,Negativno,Ne
93,18.455584,77.400626,6.7,-29.1,6.66,0.3,Negativno,Ne
94,18.485591,77.400003,6.1,-39.9,6.48,5.89,Negativno,Ne
95,18.472206,77.399396,1.3,-37.1,6.73,2.98,Pozitivno,Ne
96,18.491714,77.397559,1.5,-37.2,7.69,5.0,Negativno,Ne
97,18.47891,77.383071,7.8,-47.9,7.46,1.17,Negativno,Ne
98,18.47125,77.39065,13.4,-50.5,7.13,2.84,Negativno,Ne
99,18.476962,77.399031,11.2,-69.1,6.92,1.72,Negativno,Ne
100,18.485981,77.396035,12.4,-36.6,7.07,4.3,Negativno,Ne
101,18.485266,77.389856,0.4,-65.1,7.41,2.1,Negativno,Ne
102,18.491415,77.396507,8.2,-51.6,6.87,2.03,Negativno,Ne
103,18.471536,77.387758,4.0,-57.1,5.92,4.86,Pozitivno,Ne
104,18.467673,77.393191,0.5,-37.9,6.22,0.37,Negativno,Ne
105,18.476007,77.390379,12.9,-53.2,6.83,4.25,Negativno,Ne
106,18.485066,77.382051,3.5,-77.6,6.56,0.55,Negativno,Ne
107,18.470595,77.39372,2.6,-57.0,6.61,5.19,Negativno,Ne
108,18.470071,77.388464,6.1,-15.9,7.48,2.9,Negativno,Ne
109,18.480177,77.401586,6.0,-17.3,7.09,5.94741867266953,Pozitivno,Da
110,18.479424,77.401823,3.6,-16.3,7.25,7.34741867266953,Pozitivno,Da
111,18.47884,77.388944,7.5,-42.8,6.78,5.73,Negativno,Ne
112,18.476569,77.367858,10.9,-62.1,6.64,4.48,Negativno,Ne
113,18.494212,77.385709,1.8,-52.9,6.85,4.95,Negativno,Ne
114,18.485234,77.384467,11.2,-57.5,7.27,0.65,Negativno,Ne
115,18.48154,77.374199,2.7,-87.1,7.72,4.42,Pozitivno,Ne
116,18.475324,77.388523,13.1,-37.8,6.77,5.62,Negativno,Ne
117,18.479411,77.388757,9.1,-41.9,5.79,4.79,Negativno,Ne
118,18.475222,77.393775,0.1,-83.8,7.34,2.53,Negativno,Ne
119,18.474326,77.401242,1.5,-34.6,7.58,4.01,Negativno,Ne
120,18.466922,77.411329,2.2,-51.5,6.32,0.1,Pozitivno,Ne
121,18.48971,77.400108,6.1,-44.4,6.77,3.47,Negativno,Ne
122,18.47998,77.398777,6.3,-14.9,6.45,8.00741867266953,Pozitivno,Da
123,18.463909,77.393253,9.0,-60.5,8.19,0.24,Pozitivno,Ne
124,18.478617,77.386576,14.5,-26.2,7.51,2.54,Negativno,Ne
125,18.479711,77.390066,10.1,-55.9,7.25,5.68,Negativno,Ne
126,18.481689,77.389609,5.8,-58.0,6.93,1.65,Negativno,Ne
127,18.485796,77.401249,9.9,-51.2,6.74,3.03,Negativno,Ne
128,18.484467,77.401561,2.0,-70.0,6.62,2.0,Negativno,Ne
129,18.497861,77.386801,5.9,-43.9,6.25,1.35,Negativno,Ne
130,18.483897,77.402821,10.3,-71.2,6.79,1.47,Negativno,Ne
131,18.47567,77.390161,10.2,-35.7,6.88,5.09,Negativno,Da
132,18.491772,77.385717,9.5,-35.5,6.09,2.08,Negativno,Ne
133,18.484295,77.391927,11.1,-66.4,6.53,2.12,Negativno,Ne
134,18.48156,77.396059,0.6,-41.4,7.87,0.4,Pozitivno,Ne
135,18.472899,77.385844,2.8,-37.6,7.69,2.49,Negativno,Ne
136,18.476723,77.393639,0.6,-71.2,7.85,4.39,Negativno,Ne
137,18.488572,77.389122,10.1,-50.5,6.51,1.29,Pozitivno,Ne
138,18.474248,77.377216,13.2,-76.6,6.45,0.25,Negativno,Da
139,18.481129,77.383557,9.0,-37.4,7.3,5.21,Pozitivno,Ne
140,18.483427,77.398915,0.6,-53.1,6.49,0.23,Negativno,Ne
141,18.469652,77.408128,9.2,-49.0,6.68,0.16,Negativno,Ne
142,18.469538,77.393736,4.5,-63.6,6.98,1.06,Negativno,Ne
143,18.483387,77.392609,7.5,-80.1,6.76,0.21,Negativno,Ne
144,18.458405,77.393875,3.2,-37.9,5.75,2.92,Negativno,Ne
145,18.472756,77.392306,4.3,-45.4,6.4,5.91,Negativno,Ne
146,18.473968,77.391005,5.6,-52.8,6.82,3.54,Negativno,Ne
147,18.468203,77.374143,0.2,-44.6,7.02,2.98,Negativno,Ne
148,18.482807,77.386491,11.6,-33.2,7.78,1.66,Negativno,Ne
149,18.466439,77.392027,2.3,-50.7,7.39,3.94,Negativno,Ne
150,18.459427,77.381662,6.9,-52.6,6.77,4.52,Negativno,Ne
151,18.479899,77.395984,2.8,-68.4,7.46,1.37,Negativno,Ne
152,18.485971,77.404195,5.3,-39.5,6.99,3.18,Negativno,Ne
153,18.474165,77.383387,9.8,-31.1,7.05,2.58,Negativno,Ne
154,18.492502,77.375441,2.2,-9.3,6.71,3.18,Negativno,Ne
155,18.483866,77.373873,4.3,-58.0,7.83,0.23,Negativno,Ne
156,18.475225,77.383351,10.7,-32.6,6.43,5.3,Negativno,Ne
157,18.46802,77.384699,5.6,-50.3,8.02,0.45,Negativno,Ne
158,18.50118,77.391715,10.0,-45.5,6.19,2.95,Negativno,Ne
159,18.479928,77.392001,7.4,-51.3,7.01,5.76,Negativno,Ne
160,18.491684,77.390728,5.1,-51.4,5.97,4.17,Negativno,Ne
161,18.464037,77.387662,10.4,-40.0,6.8,5.49,Negativno,Ne
162,18.488255,77.38079,4.8,-34.7,7.08,2.48,Negativno,Ne
163,18.48329,77.401068,1.1,-53.8,7.93,4.45,Negativno,Ne
164,18.483817,77.392271,4.0,-31.2,6.94,2.62,Negativno,Ne
165,18.48393,77.407706,1.4,-36.8,8.07,1.71,Negativno,Ne
166,18.492502,77.400272,11.7,-29.1,7.52,4.22,Negativno,Ne
167,18.490259,77.369611,4.9,-56.0,6.74,2.27,Negativno,Ne
168,18.470572,77.391236,14.8,-23.2,7.09,5.44,Negativno,Ne
169,18.488062,77.383145,10.0,-56.0,7.23,0.16,Negativno,Ne
170,18.481003,77.390706,15.0,-52.5,7.09,2.23,Negativno,Ne
171,18.467722,77.395597,1.6,-62.4,6.83,1.49,Negativno,Ne
172,18.489324,77.386599,14.4,-29.4,7.69,1.36,Negativno,Ne
173,18.485671,77.372515,12.3,-66.6,7.16,3.73,Negativno,Ne
174,18.469298,77.385209,13.5,-53.6,7.17,4.65,Pozitivno,Ne
175,18.456649,77.389139,11.6,-38.1,7.46,5.94,Negativno,Ne
176,18.492062,77.381569,6.6,-26.1,6.23,4.93,Negativno,Ne
177,18.490616,77.380426,2.0,-65.4,6.1,5.94,Negativno,Ne
178,18.468534,77.393263,5.2,-33.6,5.75,2.86,Negativno,Ne
179,18.466123,77.378102,13.4,-62.5,7.9,3.79,Negativno,Ne
180,18.468539,77.40259,13.9,-32.5,7.5,1.75,Negativno,Ne
181,18.477584,77.392237,10.9,-74.7,5.99,2.44,Pozitivno,Ne
182,18.492585,77.382357,10.6,-47.0,7.49,2.97,Negativno,Ne
183,18.470377,77.393547,8.3,-19.5,7.47,1.8,Negativno,Ne
184,18.480799,77.401577,10.7,-42.6,6.67,0.9,Negativno,Ne
185,18.480256,77.382229,7.7,-57.7,6.82,5.6,Negativno,Ne
186,18.489847,77.383147,10.8,-23.1,6.8,5.48,Negativno,Ne
187,18.484344,77.379507,2.1,-53.9,6.03,5.12,Pozitivno,Ne
188,18.498201,77.389887,7.9,-52.9,7.13,0.55,Negativno,Ne
189,18.466397,77.401233,9.2,-55.0,6.78,2.12,Negativno,Ne
190,18.489081,77.400291,7.6,-83.3,7.84,3.24,Negativno,Ne
191,18.4729,77.409596,13.5,-39.8,7.08,4.84,Negativno,Da
192,18.476778,77.393439,11.1,-65.1,6.62,1.22,Pozitivno,Da
193,18.475086,77.379332,6.5,-40.4,6.94,0.9,Negativno,Ne
194,18.465448,77.397123,7.8,-43.3,8.3,4.51,Negativno,Ne
195,18.47731,77.390823,14.7,-59.9,6.38,2.6,Negativno,Ne
196,18.457883,77.385322,14.1,-52.2,7.21,2.77,Negativno,Ne
197,18.479722,77.380717,5.5,-58.7,7.59,3.21,Negativno,Da
198,18.483698,77.391214,6.9,-44.5,7.47,0.35,Negativno,Ne
199,18.483277,77.395809,11.1,-44.0,7.26,5.41,Negativno,Ne
200,18.494336,77.383395,9.6,-39.2,7.37,0.77,Negativno,Ne
201,18.482195,77.391204,9.3,-52.0,7.39,3.89,Negativno,Ne
202,18.478794,77.394853,8.0,-54.8,6.7,3.25,Pozitivno,Ne
203,18.477165,77.404937,9.4,-35.0,7.11,3.84,Negativno,Ne
204,18.493695,77.392374,2.2,-41.5,7.27,3.92,Negativno,Ne
205,18.482737,77.382062,5.7,-41.5,7.07,2.98,Negativno,Ne
206,18.47161,77.386931,5.9,-56.4,7.1,2.24,Negativno,Ne
207,18.48776,77.382338,8.5,-73.7,7.0,2.28,Negativno,Ne
208,18.481531,77.392799,10.6,-43.8,6.9,1.08,Negativno,Ne
209,18.482888,77.391723,14.8,-58.6,6.68,2.0,Negativno,Ne
210,18.462512,77.394749,10.8,-40.9,6.64,0.24,Negativno,Ne
211,18.473465,77.387066,13.0,-71.5,6.07,4.74,Negativno,Ne
212,18.480496,77.383926,13.6,-39.7,7.04,0.25,Negativno,Ne
213,18.486714,77.374553,6.8,-44.4,6.99,4.31,Negativno,Ne
214,18.495387,77.39022,14.6,-58.6,7.08,5.98,Negativno,Ne
215,18.480287,77.41189,1.6,-65.0,6.56,0.7,Pozitivno,Ne
216,18.465778,77.399185,4.4,-37.4,6.53,4.43,Negativno,Ne
217,18.47789,77.393855,14.8,-70.7,7.34,0.61,Negativno,Ne
218,18.483281,77.398263,7.7,-57.8,6.17,0.99,Pozitivno,Ne
219,18.481585,77.392141,14.0,-48.3,7.22,5.79,Negativno,Ne
220,18.488404,77.385213,1.2,-38.6,7.64,4.65,Negativno,Ne
221,18.488118,77.394726,12.0,-44.8,6.77,0.95,Negativno,Ne
222,18.486367,77.373446,0.5,-40.6,7.0,0.95,Negativno,Ne
223,18.482753,77.392813,14.0,-54.2,6.9,2.67,Negativno,Ne
224,18.50138,77.381067,0.6,-33.4,6.79,2.66,Negativno,Ne
225,18.486016,77.396886,13.1,-55.6,6.84,3.19,Negativno,Ne
226,18.482522,77.391759,4.4,-56.8,6.98,0.96,Negativno,Ne
227,18.474545,77.379591,6.6,-54.0,6.18,0.14,Negativno,Ne
228,18.482222,77.382936,10.8,-60.8,7.05,2.06,Negativno,Ne
229,18.480738,77.388878,11.6,-51.9,6.65,1.13,Negativno,Ne
230,18.462268,77.394128,12.7,-23.2,7.31,2.28,Negativno,Ne
231,18.486143,77.391459,9.7,-38.2,7.88,4.38,Negativno,Ne
232,18.491972,77.391099,12.6,-37.1,7.69,2.31,Negativno,Ne
233,18.469278,77.424337,11.1,-42.5,6.91,3.39,Negativno,Ne
234,18.495912,77.399286,8.7,-55.8,6.68,3.06,Negativno,Ne
235,18.472819,77.395247,13.1,-60.2,7.31,1.88,Negativno,Ne
236,18.479002,77.389256,3.6,-60.0,7.25,1.46,Negativno,Ne
237,18.486189,77.390415,5.0,-66.1,6.56,4.91,Negativno,Ne
238,18.466589,77.379884,8.8,-42.7,6.41,2.24,Negativno,Ne
239,18.486591,77.391085,7.3,-45.5,6.5,5.61,Negativno,Ne
240,18.476704,77.396829,11.9,-35.3,6.93,1.0,Negativno,Da
241,18.480296,77.398345,3.2,-5.5,6.92,4.31,Negativno,Ne
242,18.471005,77.405365,12.4,-58.3,7.02,4.27,Negativno,Ne
243,18.470866,77.376855,3.8,-19.9,7.24,1.58,Negativno,Ne
244,18.489315,77.38697,11.5,-65.9,7.29,4.59,Negativno,Ne
245,18.477365,77.39337,10.5,-34.1,7.31,0.77,Negativno,Ne
246,18.488895,77.387866,12.9,-71.7,8.12,1.62,Pozitivno,Ne
247,18.488207,77.380436,6.5,-52.1,6.95,0.23,Negativno,Ne
248,18.497386,77.3976,6.0,-46.5,6.29,1.37,Negativno,Ne
249,18.482717,77.373855,9.8,-42.3,7.12,0.57,Negativno,Ne
250,18.477342,77.391376,8.7,-38.0,6.92,5.58,Negativno,Ne
251,18.473487,77.395961,2.6,-55.9,7.05,3.14,Negativno,Ne
252,18.487077,77.377114,0.7,-66.3,7.06,5.92,Negativno,Ne
253,18.471001,77.403382,14.7,-62.9,6.83,0.48,Negativno,Ne
254,18.469008,77.38037,4.0,-22.4,6.68,4.56,Negativno,Ne
255,18.480282,77.388387,13.1,-78.5,6.74,1.87,Negativno,Da
256,18.485984,77.395924,2.3,-41.9,7.3,1.42,Negativno,Ne
257,18.491612,77.387791,8.3,-58.2,7.06,1.89,Negativno,Ne
258,18.480393,77.392075,6.6,-50.1,7.58,4.07,Negativno,Ne
259,18.474642,77.386561,4.1,-50.4,6.78,1.02,Pozitivno,Ne
260,18.46911,77.397194,1.1,-51.2,6.51,4.31,Negativno,Ne
261,18.474822,77.372159,11.7,-51.2,7.14,4.84,Negativno,Ne
262,18.481648,77.391718,3.4,-69.6,6.67,1.44,Negativno,Ne
263,18.478538,77.400781,14.1,-10.8,7.94,6.44741867266953,Pozitivno,Da
264,18.482463,77.390652,12.6,-28.1,7.72,1.23,Negativno,Ne
265,18.481379,77.387396,1.7,-70.4,7.6,4.99,Negativno,Ne
266,18.48069,77.386417,14.8,-58.2,6.5,3.17,Negativno,Ne
267,18.488775,77.373254,5.2,-38.3,6.98,5.43,Negativno,Ne
268,18.481664,77.363857,3.9,-60.5,7.54,5.12,Negativno,Ne
269,18.492243,77.387957,8.9,-58.6,5.85,0.52,Negativno,Ne
270,18.494574,77.388865,6.8,-69.7,6.28,3.32,Negativno,Ne
271,18.483324,77.393532,9.6,-52.1,6.94,4.47,Pozitivno,Ne
272,18.496061,77.382575,11.8,-46.1,7.36,1.9,Negativno,Ne
273,18.481426,77.366898,14.2,-32.4,6.46,5.39,Negativno,Ne
274,18.495599,77.394231,4.4,-29.0,7.45,3.23,Negativno,Ne
275,18.479673,77.384692,6.4,-48.2,7.44,1.31,Negativno,Ne
276,18.484033,77.381336,1.0,-55.6,6.98,1.37,Negativno,Da
277,18.490655,77.399555,8.7,-84.1,6.8,3.1,Negativno,Ne
278,18.478888,77.372739,12.1,-32.7,7.1,1.56,Negativno,Ne
279,18.471037,77.392296,11.6,-34.5,6.97,1.94,Negativno,Ne
280,18.481687,77.390297,14.7,-63.3,6.84,4.09,Negativno,Ne
281,18.476683,77.375367,13.8,-34.6,6.76,4.27,Negativno,Ne
282,18.475789,77.392733,2.4,-30.1,7.31,1.15,Negativno,Da
283,18.469343,77.39554,4.9,-7.9,7.03,3.2,Pozitivno,Ne
284,18.489541,77.419826,12.4,-10.6,6.73,5.59,Negativno,Ne
285,18.476498,77.383301,0.2,-67.6,6.87,5.95,Negativno,Ne
286,18.485303,77.397666,4.0,-29.7,6.5,2.37,Negativno,Ne
287,18.487885,77.396569,12.6,-37.9,5.55,5.55,Negativno,Ne
288,18.466854,77.397932,6.0,-74.8,7.3,0.18,Negativno,Da
289,18.47807,77.395797,13.4,-37.7,6.78,3.05,Negativno,Ne
290,18.482003,77.38323,6.7,-57.7,6.55,3.29,Negativno,Ne
291,18.501057,77.386787,1.2,-74.6,7.09,3.11,Negativno,Ne
292,18.475971,77.394507,7.7,-45.1,6.38,4.91,Negativno,Ne
293,18.478497,77.411391,4.4,-46.5,6.72,3.55,Negativno,Ne
294,18.466717,77.403557,8.1,-52.5,7.13,0.61,Pozitivno,Ne
295,18.504575,77.375947,13.3,-54.7,7.09,0.36,Negativno,Ne
296,18.489252,77.373627,11.3,-52.6,7.29,5.42,Negativno,Ne
297,18.478246,77.376234,5.6,-52.4,7.04,3.51,Negativno,Ne
298,18.482749,77.378558,0.3,-36.5,6.69,2.37,Negativno,Ne
299,18.482306,77.396974,6.6,-44.8,7.35,2.99,Negativno,Ne
300,18.477124,77.394326,5.0,-38.8,6.7,1.48,Negativno,Ne
301,18.482953,77.386297,10.4,-44.6,7.23,1.78,Negativno,Ne
302,18.485651,77.390675,8.6,-47.1,6.63,4.64,Negativno,Ne
303,18.47107,77.388567,4.8,-63.4,7.09,0.78,Negativno,Ne
304,18.488531,77.390733,10.9,-50.0,7.26,2.86,Negativno,Ne
305,18.497799,77.389324,9.5,-59.9,6.26,1.4,Negativno,Ne
306,18.473398,77.396948,13.5,-30.6,7.03,2.18,Negativno,Ne
307,18.486768,77.401846,1.1,-61.5,6.77,3.97,Negativno,Ne
308,18.474468,77.395273,13.2,-80.6,7.39,5.27,Negativno,Ne
309,18.479995,77.394867,8.3,-26.5,7.95,4.67,Negativno,Ne
310,18.488098,77.394168,3.0,-63.0,6.82,3.19,Negativno,Ne
311,18.492069,77.401718,11.7,-55.1,6.79,2.91,Negativno,Ne
312,18.480988,77.394195,8.5,-47.2,6.45,2.39,Negativno,Ne
313,18.479983,77.388462,3.9,-60.1,7.9,1.41,Negativno,Ne
314,18.475835,77.395041,10.8,-29.6,7.04,1.0,Pozitivno,Ne
315,18.476871,77.381664,8.5,-50.2,6.57,3.67,Negativno,Ne
316,18.474325,77.378483,10.7,-85.6,7.43,3.44,Negativno,Ne
317,18.481423,77.382632,4.8,-77.3,6.74,1.91,Negativno,Ne
318,18.481422,77.363501,11.1,-25.8,6.11,1.71,Negativno,Ne
319,18.477901,77.398625,9.0,-14.8,6.67,4.29741867266953,Pozitivno,Da
320,18.465412,77.390197,4.0,-81.0,6.67,2.67,Negativno,Ne
321,18.478211,77.382717,1.0,-77.1,5.44,0.58,Negativno,Ne
322,18.492121,77.400035,2.8,-77.3,7.26,4.0,Negativno,Ne
323,18.480715,77.396098,14.0,-38.2,7.33,3.61,Negativno,Ne
324,18.492387,77.390204,8.9,-40.7,6.56,2.44,Negativno,Ne
325,18.467926,77.385523,14.9,-21.3,7.14,0.22,Negativno,Ne
326,18.486624,77.379804,8.2,-57.7,6.24,4.12,Negativno,Ne
327,18.491987,77.408234,8.5,-43.3,7.57,0.49,Negativno,Ne
328,18.475321,77.395955,12.1,-52.7,7.04,0.49,Negativno,Ne
329,18.483507,77.375537,13.8,-33.4,7.04,4.92,Negativno,Ne
330,18.48796,77.395785,14.2,-55.3,7.79,4.24,Negativno,Ne
331,18.468948,77.389578,1.9,-56.3,6.29,3.89,Negativno,Ne
332,18.467432,77.379937,6.5,-50.7,7.5,0.79,Negativno,Ne
333,18.469211,77.392281,1.1,-32.9,6.9,2.03,Pozitivno,Ne
334,18.486686,77.382312,11.3,-79.4,6.75,4.55,Negativno,Ne
335,18.472587,77.403822,1.0,-58.3,7.54,3.27,Negativno,Ne
336,18.475916,77.386638,6.1,-26.4,7.13,4.35,Negativno,Ne
337,18.473226,77.379967,4.7,-51.0,7.11,4.37,Negativno,Ne
338,18.494568,77.399845,6.1,-56.4,7.37,4.04,Pozitivno,Ne
339,18.490405,77.400469,4.4,-25.8,7.56,0.58,Negativno,Ne
340,18.485754,77.391801,4.5,-31.5,6.91,2.59,Negativno,Ne
341,18.489362,77.384229,6.3,-55.5,6.4,1.42,Negativno,Ne
342,18.477401,77.384044,3.1,-48.2,7.1,0.8,Negativno,Da
343,18.492476,77.408276,9.3,-69.4,7.29,5.57,Negativno,Ne
344,18.46908,77.389668,3.4,-52.2,6.42,0.41,Negativno,Ne
345,18.464192,77.406693,4.5,-38.4,7.63,1.45,Negativno,Ne
346,18.485744,77.39057,3.5,-44.8,6.99,1.62,Negativno,Ne
347,18.462003,77.38688,10.3,-52.9,6.55,2.7,Negativno,Ne
348,18.482404,77.390913,3.8,-0.3,7.08,2.59,Pozitivno,Ne
349,18.47712,77.382382,2.2,-33.7,7.09,1.43,Pozitivno,Ne
350,18.47113,77.387634,1.4,-27.7,7.49,2.09,Negativno,Ne
351,18.484511,77.377511,10.0,-12.7,7.23,1.06,Negativno,Ne
352,18.49064,77.377051,9.4,-40.5,7.14,0.67,Negativno,Ne
353,18.481748,77.397317,7.6,-56.6,6.92,2.68,Negativno,Ne
354,18.469789,77.390043,9.8,-58.7,6.21,1.37,Negativno,Ne
355,18.48668,77.379005,4.1,-35.8,7.46,2.42,Negativno,Ne
356,18.490811,77.410394,8.7,-65.1,7.08,2.17,Negativno,Ne
357,18.470602,77.393466,13.1,-61.7,7.87,0.59,Negativno,Ne
358,18.490388,77.392196,12.0,-39.0,7.61,3.78,Negativno,Ne
359,18.487667,77.384627,2.8,-66.0,7.34,0.62,Negativno,Ne
360,18.482071,77.386196,5.3,-63.7,6.45,4.68,Negativno,Ne
361,18.486571,77.373681,1.4,-63.0,7.5,4.67,Negativno,Ne
362,18.491145,77.399777,14.7,-56.9,7.26,1.24,Negativno,Ne
363,18.475771,77.380427,13.7,-47.2,6.82,5.86,Negativno,Ne
